		count	min	q5	q25	q50	q75	q95	max
Institute for Infectious Diseases, University of Bern	2021-29	22	4	6	6	7	10	13	14
Institute for Infectious Diseases, University of Bern	2021-30	46	3	3	5	7	9	10	11
Institute for Infectious Diseases, University of Bern	2021-31	70	5	6	8	9	10	15	16
Institute for Infectious Diseases, University of Bern	2021-32	52	7	7	8	9	10	10	10
Institute for Infectious Diseases, University of Bern	2021-33	65	4	4	4	5	13	17	19
Institute for Infectious Diseases, University of Bern	2021-34	103	5	5	7	17	18	19	23
Institute for Infectious Diseases, University of Bern	2021-35	329	4	5	10	13	17	22	27
Institute for Infectious Diseases, University of Bern	2021-36	267	5	6	10	11	12	14	245
Institute for Infectious Diseases, University of Bern	2021-37	100	5	6	6	9	13	15	31
Institute for Infectious Diseases, University of Bern	2021-38	178	3	4	6	14	15	16	32
Institute for Infectious Diseases, University of Bern	2021-39	229	4	4	8	12	14	16	35
Institute for Infectious Diseases, University of Bern	2021-40	81	5	6	7	8	11	16	19
Institute for Infectious Diseases, University of Bern	2021-41	94	4	6	8	9	10	13	14
Institute for Infectious Diseases, University of Bern	2021-42	90	3	3	7	8	11	13	17
Institute for Infectious Diseases, University of Bern	2021-43	37	7	8	10	11	11	11	12
Institute for Infectious Diseases, University of Bern	2021-44	12	11	11	11	11	12	12	12
Institute for Infectious Diseases, University of Bern	2021-45	356	8	9	11	13	16	19	27
Institute of Medical Virology, University of Zurich	2020-10	6	3	3	3	3	4	6	6
Institute of Medical Virology, University of Zurich	2020-32	8	138	139	142	142	142	144	144
Institute of Medical Virology, University of Zurich	2020-35	13	176	177	178	178	179	180	180
Institute of Medical Virology, University of Zurich	2020-43	14	169	169	175	204	223	224	225
Institute of Medical Virology, University of Zurich	2020-52	28	3	3	3	3	34	44	264
Institute of Medical Virology, University of Zurich	2020-53	10	4	4	4	4	8	17	21
Institute of Medical Virology, University of Zurich	2021-01	6	7	7	9	13	14	15	15
Institute of Medical Virology, University of Zurich	2021-02	10	5	6	9	10	10	12	13
Institute of Medical Virology, University of Zurich	2021-05	13	281	281	299	305	309	311	311
Institute of Medical Virology, University of Zurich	2021-07	44	27	28	30	32	34	37	38
Institute of Medical Virology, University of Zurich	2021-08	68	26	26	29	30	32	34	35
Institute of Medical Virology, University of Zurich	2021-12	2	45	48	60	76	92	104	107
Institute of Medical Virology, University of Zurich	2021-16	73	10	11	11	12	13	14	16
Institute of Medical Virology, University of Zurich	2021-17	3	5	5	5	5	18	28	31
Institute of Medical Virology, University of Zurich	2021-18	146	9	12	18	20	22	24	52
Institute of Medical Virology, University of Zurich	2021-19	352	8	12	17	18	21	26	54
Institute of Medical Virology, University of Zurich	2021-20	108	8	8	10	11	12	17	22
Institute of Medical Virology, University of Zurich	2021-21	2	24	25	29	34	40	44	45
Institute of Medical Virology, University of Zurich	2021-22	57	10	11	12	14	17	20	28
Institute of Medical Virology, University of Zurich	2021-23	195	11	14	24	28	37	40	41
Institute of Medical Virology, University of Zurich	2021-24	140	5	10	14	22	27	29	30
Institute of Medical Virology, University of Zurich	2021-25	22	53	54	60	66	76	79	81
Institute of Medical Virology, University of Zurich	2021-26	45	13	14	17	19	22	25	25
Institute of Medical Virology, University of Zurich	2021-27	36	8	8	11	15	34	50	53
Institute of Medical Virology, University of Zurich	2021-28	143	4	7	9	12	47	53	55
Institute of Medical Virology, University of Zurich	2021-29	98	6	7	9	10	12	14	19
Institute of Medical Virology, University of Zurich	2021-30	110	4	6	10	12	14	15	16
Institute of Medical Virology, University of Zurich	2021-31	242	4	8	11	15	16	20	22
Institute of Medical Virology, University of Zurich	2021-32	137	4	6	8	13	17	22	24
Institute of Medical Virology, University of Zurich	2021-33	337	6	7	10	13	16	19	24
Institute of Medical Virology, University of Zurich	2021-34	225	6	7	10	13	15	17	19
Institute of Medical Virology, University of Zurich	2021-35	209	6	8	11	15	18	22	28
Institute of Medical Virology, University of Zurich	2021-36	215	7	8	13	15	17	22	25
Institute of Medical Virology, University of Zurich	2021-37	229	7	9	11	12	15	19	31
Institute of Medical Virology, University of Zurich	2021-38	231	8	10	13	15	16	19	26
Institute of Medical Virology, University of Zurich	2021-39	191	7	10	13	14	16	20	23
Institute of Medical Virology, University of Zurich	2021-40	194	7	8	12	14	15	18	24
Institute of Medical Virology, University of Zurich	2021-41	113	9	10	14	16	17	21	31
Institute of Medical Virology, University of Zurich	2021-42	188	9	10	14	16	19	26	29
Institute of Medical Virology, University of Zurich	2021-43	203	8	9	12	13	16	23	26
Institute of Medical Virology, University of Zurich	2021-44	28	14	14	16	17	19	22	34
Institute of Medical Virology, University of Zurich	2021-45	274	12	14	17	18	21	25	37
Klinisch Laboratorium ZNA	2021-12	1	15	15	15	15	15	15	15
Laboratorio di Microbiologia	2021-15	93	8	8	10	15	15	17	17
Laboratorio di Microbiologia	2021-16	47	11	11	11	12	13	13	13
Laboratorio di Microbiologia	2021-17	48	10	11	15	16	16	16	16
Laboratorio di Microbiologia	2021-18	94	8	9	10	11	13	14	14
Laboratorio di Microbiologia	2021-19	95	7	7	9	11	13	14	37
Laboratorio di Microbiologia	2021-20	163	4	5	8	9	12	13	14
Laboratorio di Microbiologia	2021-22	78	7	7	9	12	13	14	15
Laboratorio di Microbiologia	2021-23	27	8	8	9	11	12	13	13
Laboratorio di Microbiologia	2021-24	45	6	6	9	11	14	15	16
Laboratorio di Microbiologia	2021-26	18	7	8	10	12	16	19	19
Laboratorio di Microbiologia	2021-28	32	5	6	6	7	10	12	15
Laboratorio di Microbiologia	2021-29	35	5	5	7	8	10	12	12
Laboratorio di Microbiologia	2021-30	116	2	3	4	5	7	10	18
Laboratorio di Microbiologia	2021-34	178	15	16	17	20	24	28	32
Laboratorio di Microbiologia	2021-35	173	7	10	13	15	18	20	26
Laboratorio di Microbiologia	2021-37	182	7	8	12	16	18	21	23
Laboratorio di Microbiologia	2021-39	82	10	11	13	16	19	21	25
Laboratorio di Microbiologia	2021-40	61	8	9	13	15	17	18	23
Laboratorio di Microbiologia	2021-41	45	7	7	9	12	14	15	16
Laboratorio di Microbiologia	2021-42	37	6	7	9	9	12	13	14
Laboratorio di Microbiologia	2021-43	30	8	8	9	11	14	15	16
Laboratorio di Microbiologia	2021-44	53	7	8	10	11	13	15	16
Laboratorio di Microbiologia	2021-45	54	6	6	8	10	12	14	14
Laboratory of genomics and metagenomics, Lausanne	2021-06	1	17	17	17	17	17	17	17
Laboratory of genomics and metagenomics, Lausanne	2021-07	56	19	20	22	27	29	35	89
Laboratory of genomics and metagenomics, Lausanne	2021-09	57	47	49	51	52	55	64	68
Laboratory of genomics and metagenomics, Lausanne	2021-12	290	8	11	18	29	34	46	98
Laboratory of genomics and metagenomics, Lausanne	2021-14	90	12	13	18	23	36	39	72
Laboratory of genomics and metagenomics, Lausanne	2021-15	82	8	8	10	12	14	18	42
Laboratory of genomics and metagenomics, Lausanne	2021-16	83	8	9	11	13	14	20	47
Laboratory of genomics and metagenomics, Lausanne	2021-18	251	5	6	10	13	19	32	112
Laboratory of genomics and metagenomics, Lausanne	2021-19	84	6	7	8	11	12	14	15
Laboratory of genomics and metagenomics, Lausanne	2021-20	27	12	12	12	24	32	45	47
Laboratory of genomics and metagenomics, Lausanne	2021-21	68	4	5	8	9	11	22	27
Laboratory of genomics and metagenomics, Lausanne	2021-22	582	104	107	119	136	229	447	457
Laboratory of genomics and metagenomics, Lausanne	2021-23	97	7	9	12	15	16	40	93
Laboratory of genomics and metagenomics, Lausanne	2021-25	56	5	6	9	11	13	22	97
Laboratory of genomics and metagenomics, Lausanne	2021-27	43	8	8	10	13	16	38	150
Laboratory of genomics and metagenomics, Lausanne	2021-28	69	6	7	9	10	13	15	19
Laboratory of genomics and metagenomics, Lausanne	2021-29	67	5	6	8	9	11	16	22
Laboratory of genomics and metagenomics, Lausanne	2021-30	75	7	7	10	11	12	16	31
Laboratory of genomics and metagenomics, Lausanne	2021-31	161	6	8	10	11	13	17	37
Laboratory of genomics and metagenomics, Lausanne	2021-33	156	11	12	13	15	16	19	22
Laboratory of genomics and metagenomics, Lausanne	2021-34	148	13	13	16	18	19	21	23
Laboratory of genomics and metagenomics, Lausanne	2021-35	232	6	8	10	12	14	17	24
Laboratory of genomics and metagenomics, Lausanne	2021-37	26	12	13	13	14	15	15	16
Laboratory of genomics and metagenomics, Lausanne	2021-38	119	10	12	14	16	19	24	29
Laboratory of genomics and metagenomics, Lausanne	2021-39	215	6	8	12	16	19	25	31
Laboratory of genomics and metagenomics, Lausanne	2021-41	55	9	10	12	14	16	19	23
Laboratory of genomics and metagenomics, Lausanne	2021-42	88	7	9	10	12	14	19	21
Laboratory of genomics and metagenomics, Lausanne	2021-43	73	5	6	9	10	12	18	28
Laboratory of genomics and metagenomics, Lausanne	2021-45	150	5	7	11	13	14	18	228
Microbiology	2021-41	327	6	10	14	20	31	44	176
Microbiology	2021-42	79	10	10	12	16	18	182	188
Microbiology	2021-43	239	4	5	6	9	15	57	194
Microbiology	2021-44	170	6	6	7	8	10	28	197
Microbiology	2021-45	80	5	5	6	7	9	12	98
Microbiology Lab Dr. Risch Buchs	2021-45	1	9	9	9	9	9	9	9
Microbiology, Dr. Risch	2021-31	36	26	27	30	32	118	123	124
Microbiology, Dr. Risch	2021-32	42	20	23	28	31	127	129	129
Microbiology, Dr. Risch	2021-33	27	14	14	15	16	18	22	28
Microbiology, Dr. Risch	2021-34	238	11	15	22	77	103	136	139
Microbiology, Dr. Risch	2021-35	222	6	7	11	13	15	125	144
Microbiology, Dr. Risch	2021-37	83	15	15	18	21	24	148	149
Microbiology, Dr. Risch	2021-41	103	33	34	35	40	42	51	56
Microbiology_DrRisch_Buchs	2021-41	82	13	22	25	28	32	36	64
SRO AG	2021-36	218	14	15	18	28	37	59	71
SRO AG	2021-38	118	12	13	15	20	22	23	23
SRO AG	2021-40	75	10	11	13	17	20	21	23
SRO AG	2021-42	29	13	14	17	20	23	24	27
SRO AG	2021-43	16	11	11	12	14	15	15	15
SRO AG	2021-44	22	11	11	12	14	15	15	16
SRO AG	2021-45	21	11	11	12	13	15	15	15
Spiez Laboratory	2021-30	1	485	485	485	485	485	485	485
Swiss National Reference Centre for Influenza	2020-11	8	9	10	12	12	12	14	15
Swiss National Reference Centre for Influenza	2020-39	96	195	195	195	195	195	195	195
Swiss National Reference Centre for Influenza	2021-03	104	25	39	53	78	87	98	116
Swiss National Reference Centre for Influenza	2021-04	3	36	37	42	47	52	56	57
Swiss Tropical and Public Health Institute	2021-16	54	51	74	76	89	103	103	416
Synlab Bioggio	2021-37	193	12	14	23	33	42	57	61
Synlab Bioggio	2021-38	14	11	11	14	15	15	16	17
Synlab Bioggio	2021-40	43	9	9	14	17	19	21	22
Synlab Bioggio	2021-41	19	9	10	11	14	14	15	16
Synlab Bioggio	2021-43	61	6	7	10	15	22	25	25
Synlab Bioggio	2021-45	27	11	12	14	14	15	15	16
University Hospital Basel, Clinical Bacteriology	2020-14	18	8	8	25	26	27	32	32
University Hospital Basel, Clinical Bacteriology	2020-36	466	167	167	170	174	178	185	193
University Hospital Basel, Clinical Bacteriology	2020-37	2	173	174	176	178	180	182	183
University Hospital Basel, Clinical Bacteriology	2020-42	335	42	52	93	191	201	204	224
University Hospital Basel, Clinical Bacteriology	2021-02	286	83	91	93	98	105	131	134
University Hospital Basel, Clinical Bacteriology	2021-03	17	25	27	29	34	104	107	115
University Hospital Basel, Clinical Bacteriology	2021-04	49	12	18	24	25	29	50	62
University Hospital Basel, Clinical Bacteriology	2021-05	572	17	80	97	102	105	110	111
University Hospital Basel, Clinical Bacteriology	2021-06	6	36	38	42	70	105	108	109
University Hospital Basel, Clinical Bacteriology	2021-07	89	15	15	63	67	71	76	119
University Hospital Basel, Clinical Bacteriology	2021-10	57	74	75	77	81	84	101	102
University Hospital Basel, Clinical Bacteriology	2021-11	371	43	46	61	75	85	115	122
University Hospital Basel, Clinical Bacteriology	2021-13	540	36	40	51	63	98	159	355
University Hospital Basel, Clinical Bacteriology	2021-17	543	21	29	36	50	57	74	175
University Hospital Basel, Clinical Bacteriology	2021-18	69	12	18	21	25	117	120	142
University Hospital Basel, Clinical Bacteriology	2021-19	188	6	8	10	26	63	74	119
University Hospital Basel, Clinical Bacteriology	2021-20	72	11	11	13	16	117	131	145
University Hospital Basel, Clinical Bacteriology	2021-21	122	8	10	17	32	136	141	379
University Hospital Basel, Clinical Bacteriology	2021-22	105	10	13	14	16	35	174	219
University Hospital Basel, Clinical Bacteriology	2021-23	422	10	16	109	127	133	141	148
University Hospital Basel, Clinical Bacteriology	2021-24	129	9	13	18	94	158	218	218
University Hospital Basel, Clinical Bacteriology	2021-25	60	10	10	13	20	54	64	164
University Hospital Basel, Clinical Bacteriology	2021-26	30	9	9	13	17	38	77	106
University Hospital Basel, Clinical Bacteriology	2021-27	31	13	14	157	160	164	165	166
University Hospital Basel, Clinical Bacteriology	2021-28	24	12	14	23	194	205	233	234
University Hospital Basel, Clinical Bacteriology	2021-29	40	7	10	12	16	199	199	203
University Hospital Basel, Clinical Bacteriology	2021-30	48	5	5	12	14	20	142	206
University Hospital Basel, Clinical Bacteriology	2021-31	175	8	9	11	13	17	22	23
University Hospital Basel, Clinical Bacteriology	2021-32	131	4	4	6	12	13	16	268
University Hospital Basel, Clinical Bacteriology	2021-33	200	9	11	13	15	18	20	231
University Hospital Basel, Clinical Bacteriology	2021-34	187	10	12	14	15	18	228	228
University Hospital Basel, Clinical Bacteriology	2021-35	48	13	13	13	16	18	21	24
University Hospital Basel, Clinical Bacteriology	2021-37	89	25	26	26	28	33	43	43
University Hospital Basel, Clinical Bacteriology	2021-38	486	7	9	16	21	29	42	52
University Hospital Basel, Clinical Bacteriology	2021-39	112	7	8	9	11	14	17	24
University Hospital Basel, Clinical Bacteriology	2021-40	94	7	7	9	12	14	16	79
University Hospital Basel, Clinical Bacteriology	2021-41	31	5	5	11	14	18	58	58
University Hospital Basel, Clinical Bacteriology	2021-42	181	6	7	11	13	16	32	59
University Hospital Basel, Clinical Bacteriology	2021-43	105	5	5	7	10	12	17	76
University Hospital Basel, Clinical Bacteriology	2021-44	169	6	10	12	15	69	72	88
University Hospital Basel, Clinical Bacteriology	2021-45	126	8	8	9	10	11	21	95
Valais Hospital, Central Institute	2021-22	180	7	8	11	14	17	21	23
Valais Hospital, Central Institute	2021-24	53	11	11	14	15	16	17	18
Valais Hospital, Central Institute	2021-25	31	11	11	13	15	16	17	20
Valais Hospital, Central Institute	2021-26	21	14	14	15	17	18	19	19
Valais Hospital, Central Institute	2021-29	52	12	12	15	18	20	33	34
Valais Hospital, Central Institute	2021-32	60	19	19	21	22	24	26	37
Valais Hospital, Central Institute	2021-34	296	13	15	18	26	35	46	60
Valais Hospital, Central Institute	2021-35	179	8	8	11	16	19	21	22
Valais Hospital, Central Institute	2021-37	67	16	16	17	18	20	21	24
Valais Hospital, Central Institute	2021-38	124	13	13	14	16	33	34	35
Valais Hospital, Central Institute	2021-40	133	11	11	14	18	21	25	32
Valais Hospital, Central Institute	2021-41	32	17	18	18	18	20	22	23
Valais Hospital, Central Institute	2021-42	101	9	10	12	13	16	19	22
Valais Hospital, Central Institute	2021-43	72	8	8	9	11	12	15	17
Valais Hospital, Central Institute	2021-45	43	13	13	14	16	17	18	19
Valais Hospital, Central Institute, Sion and and the Health2030 Genome Center, Geneva	2021-21	93	25	25	25	25	25	25	25
Viollier AG	2021-14	2	22	22	22	22	23	23	23
Viollier AG	2021-15	6	8	8	9	10	11	11	11
Viollier AG	2021-16	28	10	10	13	15	17	24	44
Viollier AG	2021-17	30	5	6	8	12	18	32	53
Viollier AG	2021-18	55	13	13	13	14	15	16	33
Viollier AG	2021-19	70	8	8	12	13	15	16	21
Viollier AG	2021-20	120	3	5	8	10	13	16	21
Viollier AG	2021-22	145	4	5	7	9	12	15	25
